Processed_File,Model,Fold,ROC AUC,Accuracy,Precision,Recall,F1
Data_iterative_imputed_balanced_smote.pkl,MLP,2,0.9919566332160801,0.9778768367178471,0.9654285254864126,0.9912497936272082,0.9781687846203975
Data_iterative_imputed_balanced_smote.pkl,MLP,3,0.9949681154888447,0.9788674261185405,0.9626734726431648,0.9963678388641242,0.9792308940451079
Data_iterative_imputed_balanced_smote.pkl,MLP,4,0.9923315863775994,0.9739970282317979,0.9577487244897959,0.9917450883275549,0.9744504826019953
Data_iterative_imputed_minmax.pkl,LightGBM,0,0.8204110267414989,0.9740301378647003,0.9090909090909091,0.1111111111111111,0.19801980198019803
Data_iterative_imputed_minmax.pkl,LightGBM,1,0.7909190498733487,0.9749919846104521,0.9629629629629629,0.143646408839779,0.25
Data_iterative_imputed_minmax.pkl,LightGBM,2,0.8263139219769465,0.9751522924014107,0.9333333333333333,0.15469613259668508,0.26540284360189575
Data_iterative_imputed_minmax.pkl,LightGBM,3,0.7845697356593839,0.9743466410133077,0.9545454545454546,0.11666666666666667,0.2079207920792079
Data_iterative_imputed_minmax.pkl,LightGBM,4,0.8132271201364812,0.9737053070386403,0.8636363636363636,0.10555555555555556,0.18811881188118812
Data_iterative_imputed_minmax.pkl,CatBoost,0,0.7848960052822713,0.9257774927861494,0.19037199124726478,0.48333333333333334,0.2731554160125589
Data_iterative_imputed_minmax.pkl,CatBoost,1,0.7607188431813062,0.9230522603398525,0.15473441108545036,0.3701657458563536,0.2182410423452769
Data_iterative_imputed_minmax.pkl,CatBoost,2,0.8029392958423522,0.9262584161590254,0.18510158013544017,0.4530386740331492,0.26282051282051283
Data_iterative_imputed_minmax.pkl,CatBoost,3,0.7773797075926844,0.9275292608625942,0.17307692307692307,0.4,0.24161073825503357
Data_iterative_imputed_minmax.pkl,CatBoost,4,0.787652486562838,0.9195125861792528,0.17408906882591094,0.4777777777777778,0.2551928783382789
Data_iterative_imputed_minmax.pkl,LogisticRegression,0,0.7513260702101905,0.7547290798332799,0.07278481012658228,0.6388888888888888,0.13068181818181818
Data_iterative_imputed_minmax.pkl,LogisticRegression,1,0.7762006791831195,0.7403013786470023,0.07551622418879056,0.7071823204419889,0.13646055437100213
Data_iterative_imputed_minmax.pkl,LogisticRegression,2,0.7972958551221956,0.7369349150368708,0.0765661252900232,0.7292817679558011,0.13858267716535433
Data_iterative_imputed_minmax.pkl,LogisticRegression,3,0.7811898079357216,0.75998075998076,0.08296390120329322,0.7277777777777777,0.1489482660602615
Data_iterative_imputed_minmax.pkl,LogisticRegression,4,0.8068772586355547,0.7582170915504249,0.085,0.7555555555555555,0.15280898876404495
Data_iterative_imputed_minmax.pkl,MLP,0,0.5501238032353912,0.9711445976274447,0.0,0.0,0.0
Data_iterative_imputed_minmax.pkl,MLP,1,0.5906247919169365,0.9709842898364861,0.0,0.0,0.0
Data_iterative_imputed_minmax.pkl,MLP,2,0.593061131041478,0.9709842898364861,0.0,0.0,0.0
Data_iterative_imputed_minmax.pkl,MLP,3,0.5761983380111166,0.9711399711399712,0.0,0.0,0.0
Data_iterative_imputed_minmax.pkl,MLP,4,0.5837910223249501,0.9711399711399712,0.0,0.0,0.0
Data_iterative_imputed_pca.pkl,LightGBM,0,0.5781799090275486,0.9711445976274447,0.0,0.0,0.0
Data_iterative_imputed_pca.pkl,LightGBM,1,0.5985864489923991,0.9709842898364861,0.0,0.0,0.0
Data_iterative_imputed_pca.pkl,LightGBM,2,0.606454155139435,0.9709842898364861,0.0,0.0,0.0
Data_iterative_imputed_pca.pkl,LightGBM,3,0.5717429787390164,0.9711399711399712,0.0,0.0,0.0
Data_iterative_imputed_pca.pkl,LightGBM,4,0.5900491625850715,0.9711399711399712,0.0,0.0,0.0
Data_iterative_imputed_pca.pkl,CatBoost,0,0.5931302960272917,0.6657582558512344,0.04007725736359247,0.46111111111111114,0.073745002221235
Data_iterative_imputed_pca.pkl,CatBoost,1,0.606955834854335,0.6481243988457839,0.043517679057116954,0.5303867403314917,0.08043569333891915
Data_iterative_imputed_pca.pkl,CatBoost,2,0.6197751197874338,0.6742545687720424,0.042058386937159825,0.4696132596685083,0.07720254314259764
Data_iterative_imputed_pca.pkl,CatBoost,3,0.6091913855410637,0.6649029982363316,0.042624521072796934,0.49444444444444446,0.07848324514991181
Data_iterative_imputed_pca.pkl,CatBoost,4,0.6009135435584172,0.6448613115279782,0.041046459179070814,0.5055555555555555,0.07592824363788069
Data_iterative_imputed_pca.pkl,LogisticRegression,0,0.5530308866145777,0.448701506893235,0.03242467718794835,0.6277777777777778,0.061664392905866304
Data_iterative_imputed_pca.pkl,LogisticRegression,1,0.5932946401451406,0.4435716575825585,0.035048049745618995,0.6850828729281768,0.06668459263242807
Data_iterative_imputed_pca.pkl,LogisticRegression,2,0.5602257376288062,0.43812119268996474,0.035754189944134075,0.7071823204419889,0.06806700345652753
Data_iterative_imputed_pca.pkl,LogisticRegression,3,0.5861996221084879,0.4381914381914382,0.036013400335008376,0.7166666666666667,0.0685805422647528
Data_iterative_imputed_pca.pkl,LogisticRegression,4,0.6150175187569937,0.4417187750521084,0.0364963503649635,0.7222222222222222,0.06948156066274719
Data_iterative_imputed_pca.pkl,MLP,0,0.5260087671031877,0.9711445976274447,0.0,0.0,0.0
Data_iterative_imputed_pca.pkl,MLP,1,0.47118670968342186,0.9709842898364861,0.0,0.0,0.0
Data_iterative_imputed_pca.pkl,MLP,2,0.5170904035967699,0.9709842898364861,0.0,0.0,0.0
Data_iterative_imputed_pca.pkl,MLP,3,0.5117357327609928,0.9711399711399712,0.0,0.0,0.0
Data_iterative_imputed_pca.pkl,MLP,4,0.45998477427402634,0.9711399711399712,0.0,0.0,0.0
Data_iterative_imputed_selectkbest.pkl,LightGBM,0,0.7523605150214593,0.9719461365822379,0.8571428571428571,0.03333333333333333,0.06417112299465241
Data_iterative_imputed_selectkbest.pkl,LightGBM,1,0.720109238477557,0.9708239820455274,0.42857142857142855,0.016574585635359115,0.031914893617021274
Data_iterative_imputed_selectkbest.pkl,LightGBM,2,0.7624300270815831,0.9716255210003206,0.8333333333333334,0.027624309392265192,0.053475935828877004
Data_iterative_imputed_selectkbest.pkl,LightGBM,3,0.7350411828371214,0.9717813051146384,0.6428571428571429,0.05,0.09278350515463918
Data_iterative_imputed_selectkbest.pkl,LightGBM,4,0.7494102324216242,0.9717813051146384,0.8333333333333334,0.027777777777777776,0.053763440860215055
Data_iterative_imputed_selectkbest.pkl,CatBoost,0,0.7545834708924838,0.8943571657582559,0.12868217054263567,0.46111111111111114,0.2012121212121212
Data_iterative_imputed_selectkbest.pkl,CatBoost,1,0.6968449818802408,0.88089131131773,0.09393063583815028,0.35911602209944754,0.14891179839633448
Data_iterative_imputed_selectkbest.pkl,CatBoost,2,0.7589283026715814,0.8983648605322219,0.12186978297161936,0.40331491712707185,0.18717948717948718
Data_iterative_imputed_selectkbest.pkl,CatBoost,3,0.7121576504686955,0.8956228956228957,0.11456628477905073,0.3888888888888889,0.17699115044247787
Data_iterative_imputed_selectkbest.pkl,CatBoost,4,0.7305807788967769,0.8850408850408851,0.103397341211226,0.3888888888888889,0.1633605600933489
Data_iterative_imputed_selectkbest.pkl,LogisticRegression,0,0.6339486812662779,0.6404296248797692,0.04418912947414936,0.5555555555555556,0.08186655751125665
Data_iterative_imputed_selectkbest.pkl,LogisticRegression,1,0.6456581444965279,0.6256813081115742,0.042091836734693876,0.5469613259668509,0.07816818002368733
Data_iterative_imputed_selectkbest.pkl,LogisticRegression,2,0.6762104391339365,0.623116383456236,0.04866888519134775,0.6464088397790055,0.09052224371373307
Data_iterative_imputed_selectkbest.pkl,LogisticRegression,3,0.658197127290738,0.63668430335097,0.04652173913043478,0.5944444444444444,0.08629032258064516
Data_iterative_imputed_selectkbest.pkl,LogisticRegression,4,0.6708170528130903,0.6325156325156325,0.04871794871794872,0.6333333333333333,0.09047619047619047
Data_iterative_imputed_selectkbest.pkl,MLP,0,0.5212712299622171,0.9711445976274447,0.0,0.0,0.0
Data_iterative_imputed_selectkbest.pkl,MLP,1,0.5416298388148684,0.9709842898364861,0.0,0.0,0.0
Data_iterative_imputed_selectkbest.pkl,MLP,2,0.5584899258152524,0.9709842898364861,0.0,0.0,0.0
Data_iterative_imputed_selectkbest.pkl,MLP,3,0.5495945921156421,0.9711399711399712,0.0,0.0,0.0
Data_iterative_imputed_selectkbest.pkl,MLP,4,0.5350512721736099,0.9711399711399712,0.0,0.0,0.0
Data_iterative_imputed_standard.pkl,LightGBM,0,0.8204110267414989,0.9740301378647003,0.9090909090909091,0.1111111111111111,0.19801980198019803
Data_iterative_imputed_standard.pkl,LightGBM,1,0.7909190498733487,0.9749919846104521,0.9629629629629629,0.143646408839779,0.25
Data_iterative_imputed_standard.pkl,LightGBM,2,0.8263139219769465,0.9751522924014107,0.9333333333333333,0.15469613259668508,0.26540284360189575
